cluster_id,class_id,excess_q50_loss,excess_q50_loss_ci_low,excess_q50_loss_ci_high,loss_above_practical_threshold_pvalue,loss_above_practical_threshold_global_fdr,leave_one_style_out_min_effect,is_task_transfer_blindspot
C3-F31,3,0.19936803140214057,0.16462359777575575,0.23263581083898147,0.0004997501249375312,0.005047476261869065,0.19013597078193792,1
C3-F14,3,0.1336502308937776,0.1010099473006612,0.16776125428827401,0.0004997501249375312,0.005047476261869065,0.12528848552003807,1
C3-F08,3,0.12469187598039784,0.10536690260661082,0.14542752760130245,0.0004997501249375312,0.005047476261869065,0.12105642432488055,1
C3-F03,3,0.12157680817176421,0.10748114120551859,0.13625069611786833,0.0004997501249375312,0.005047476261869065,0.11929874161410511,1
C3-F33,3,0.11292519993408887,0.07946435399137361,0.14540873904307813,0.0004997501249375312,0.005047476261869065,0.10484643981070572,1
C3-F26,3,0.11145688602346096,0.08602875961158572,0.1401466366313175,0.0004997501249375312,0.005047476261869065,0.10732953318641707,1
C3-F24,3,0.10472709625260854,0.07063660598105367,0.13509592263095987,0.0004997501249375312,0.005047476261869065,0.098617114620292,1
C3-F15,3,0.10292781473776252,0.07955896462544931,0.12582745258544467,0.0004997501249375312,0.005047476261869065,0.09998116781552473,1
C3-F23,3,0.10013070431863838,0.0670293052437904,0.13543519571223592,0.0029985007496251873,0.02329604428554953,0.09757087629313671,1
C3-F06,3,0.09810849650969806,0.07592209082482446,0.11993222863173812,0.0009995002498750624,0.008412460436448442,0.0957314111012131,1
C3-F27,3,0.08892693100120197,0.05904163355875856,0.11671829082985456,0.004497751124437781,0.03244806168344399,0.08696752640837645,1
C3-F12,3,0.08778807052092952,0.0690016589934068,0.10986031601019526,0.0004997501249375312,0.005047476261869065,0.07947564210160149,1
C5-F21,5,0.08415527855439454,0.06539201216736647,0.10192654052707056,0.0004997501249375312,0.005047476261869065,0.0812604970972337,1
C3-F05,3,0.07990218743093215,0.06515485455075995,0.09518954127554444,0.0009995002498750624,0.008412460436448442,0.07734206093493333,1
